Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Direct Bound on the Total Decay Width of the Top Quark in p p¯ Collisions at s= 1.96 TeV,Physical review letters,102,4,042001,2009,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Search for the Higgs Boson in Events with Missing Transverse Energy and b Quark Jets Produced in p p¯ Collisions at s= 1.96 TeV,Physical review letters,100,21,211801,2008,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Search for Standard Model Higgs Bosons Produced in Association with W Bosons,Physical review letters,100,4,041801,2008,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Search for standard model Higgs boson production in association with a W boson at CDF,Physical Review D,78,3,032008,2008,American Physical Society
"Aaltonen, Timo; Adelman, J; Akimoto, T; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, Alberto; Antos, Jaroslav; Apollinari, G; ",Search for Gluino-Mediated Bottom Squark Production in p p¯ Collisions at s= 1.96 TeV,Physical review letters,102,22,221801,2009,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; Akimoto, Takashi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, Alberto; Antos, Jaroslav; Apollinari, G; ",Production of ψ (2 S) mesons in p p¯ collisions at 1.96 TeV,Physical Review D,80,3,031103,2009,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Cross-section-constrained top-quark mass measurement from dilepton events at the Tevatron,Physical review letters,100,6,062005,2008,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, J; ",Search for single top quark production in p p¯ collisions at s= 1.96 TeV in the missing transverse energy plus jets topology,Physical Review D,81,7,072003,2010,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Arisawa, T; ",Measurement of C P-violating asymmetries in D 0→ π+ π-and D 0→ K+ K-decays at CDF,Physical Review D,85,1,012009,2012,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",First Observation of the Decay B s 0→ D s-D s+ and Measurement of Its Branching Ratio,Physical review letters,100,2,021803,2008,American Physical Society
"Aaltonen, Terhi; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Measurement of branching ratio and B s 0 lifetime in the decay B s 0→ J/ψ f 0 (980) at CDF,Physical Review D,84,5,052012,2011,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Measurements of Direct C P Violating Asymmetries in Charmless Decays of Strange Bottom Mesons and Bottom Baryons,Physical review letters,106,18,181802,2011,American Physical Society
